<strategy>
Use a structured parameterization with 6 coefficients, leveraging the symmetry of Hermite polynomials. Implement a hybrid optimizer with random initialization and gradient descent. Use exact root isolation via Sturm's theorem to guide search. Prioritize candidates with small r_max²/(2π).
</strategy>

```python
import numpy as np
from scipy.optimize import minimize
from scipy.optimize import Bounds
from functools import partial
import time
from sympy import symbols, Eq, solve, Sturm

def run(seed=42, budget_s=600, **kwargs):
    np.random.seed(seed)
    
    def evaluate_c4_coefficients(coeffs):
        from sympy import symbols, Eq, solve, Sturm
        z = symbols('z')
        H = []
        for n in range(len(coeffs)):
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
            H_n = np.polysym([1] + [0]*n)
